Coorte,Anno,Regione,Poliomielite,Difterite,Tetano,Pertosse,Epatite B,HIB,Morbillo,Parotite,Rosolia,Varicella,Meningococco C coniugato,Pneumococco Coniugato
2016,2018,Toscana,"96,84","96,84","96,89","96,83","96,63","96,78","95,04",95,"95,04","89,1","91,09","92,53"
2016,2018,Umbria,"95,63","95,62","95,63","95,62","95,6","95,54","94,59","94,53","94,57","42,95","90,1","93,87"
2016,2018,Marche,"93,89","93,82","93,82","93,8","93,72","93,46","92,07","92,03","92,02","75,85","85,23","91,22"
2016,2018,Lazio,"97,29","97,3","97,31","97,3","97,23","97,14","94,87","94,87","94,87","62,33","81,68","94,14"
2016,2018,Abruzzo,"96,87","96,87","96,87","96,87","96,8","96,85","94,49","94,49","94,49","48,37","78,43","93,17"
2016,2018,Molise,"95,74","95,69","95,74","95,74","95,74","95,74","91,95","91,95","91,95","53,43","61,43","95,22"
2016,2018,Campania,"95,17","95,17","95,17","95,17","95,1","95,09","93,39","93,38","93,39","67,97","81,74","90,39"
2016,2018,Puglia,"95,22","95,22","95,22","95,22","95,22","94,85","94,18","94,18","94,18","91,68","83,2","93,58"
2016,2018,Basilicata,"97,07","97,07","97,07","97,07","97,07","97,07","92,98","92,98","92,98","91,08","91,8","96,89"
2016,2018,Calabria,"97,01","97,01","97,01","97,01","97,01","97,01","92,72","92,72","92,72","80,05","88,97","95,88"
2016,2018,Sicilia,"92,22","92,22","92,22","92,22","91,71","85,17","90,94","90,93","90,94","86,09","56,94","87,97"
2016,2018,Sardegna,"95,18","95,19","95,19","95,19","95,17","95,18","92,33","92,33","92,33","81,16","85,49","93,93"
2016,2018,Italia,"95,09","95,08","95,1","95,07","94,91","94,26","93,22","93,17","93,21","74,23","84,93","91,89"
2015,2017,Piemonte,"95,75","95,79","95,93","95,79","95,36","95,28","94,72","94,72","94,72","3,02","92,39","92,83"
2015,2017,Valle d'Aosta,"93,66","93,56","94,07","93,56","92,93","93,35","90,33","90,12","90,33","2,81","89,81","91,27"
2015,2017,Lombardia,"94,88","95,09","95,16","95,09","94,62","94,35","93,92","93,79","93,86","1,85","92,18","92,52"
2015,2017,Alto Adige,"85,87","85,87","85,89","85,76","85,52","85,37","71,86","71,76","71,78","17,27","67,68","80,92"
2015,2017,Trentino,"93,9","93,8","94,07","93,76","93,51","93,53","91,68","91,61","91,64","64,65","89,64","90,91"
2015,2017,Veneto,"93,53","93,53","93,77","93,52","93,06","93,05","92,34","92,23","92,29","88,56","92,03","86,57"
2015,2017,Friuli Venezia Giulia,"90,42","90,51","90,64","90,5","89,5","89,65","86,55","86,55","86,55","79,52",89,"83,83"
2015,2017,Liguria,"95,04","95,04","95,05","95,01","94,84","94,5","90,92","90,74","90,69","67,89","84,11","93,04"
2015,2017,Emilia Romagna,"95,55","95,48","95,67","95,48","95,16","94,64","93,48","93,32","93,41","9,37","91,64","92,71"
2015,2017,Toscana,"95,78","95,68","95,84","95,68","95,35","95,41","93,51","93,42","93,47","87,08","92,71","90,36"
2015,2017,Umbria,"95,8","95,74","95,8","95,74","95,82","95,66","94,53","94,51","94,51","1,97","92,31","94,28"
2015,2017,Marche,"93,01","92,94","93,02","92,92","92,66","92,49","88,21","88,15","88,14","58,04","82,49","90,71"
2015,2017,Lazio,"96,85","96,84","96,84","96,84","96,85","96,79","95,34","95,34","95,34","20,54","80,37","92,3"
2015,2017,Abruzzo,"97,36","97,33","97,33","97,33","97,33","97,33","89,2","89,2","89,2","33,96","70,92","91,15"
2015,2017,Molise,"97,16","97,16","97,16","97,16","97,16","97,16","90,48","90,48","90,48","72,57","82,71","96,02"
2015,2017,Campania,"95,39","95,39","95,39","95,39","95,38","95,48","92,03","92,03","92,03","58,9","61,3","88,22"
2015,2017,Puglia,"94,39","94,39","94,39","94,39","94,3","94,22","91,09","91,09","91,09","88,81","83,63","92,01"
2015,2017,Basilicata,"97,72","97,72","97,72","97,72","97,72","97,72","92,9","92,9","92,9","85,87","93,33","96,72"
2015,2017,Calabria,"96,1","96,1","96,1","96,1","96,1","96,19","92,79","92,79","92,79","77,85","56,85","94,62"
2015,2017,Sicilia,"91,33","91,33","91,33","91,33","91,32","91,31","85,63","85,63","85,63","81,81","68,21","88,01"
2015,2017,Sardegna,"96,04","96,03","96,06","96,01","95,99","95,99",93,"92,98",93,"81,81","90,14","95,45"
2015,2017,Italia,"94,6","94,63","94,7","94,62","94,39","94,29","91,84","91,79","91,81","45,62","82,64","90,9"
2014,2016,Piemonte,"95,13","95,14","95,44","95,12","94,72","94,33","91,06","91,06","91,06","1,86","89,33","91,84"
2014,2016,Valle d'Aosta,"90,86","90,77","91,32","90,77","90,67","90,86","83,38","82,92","83,1","0,74","84,67","87,35"
2014,2016,Lombardia,"92,8","94,23","94,42","94,22","91,85","92,9","93,4","93,27","93,33","n,d,","88,24","85,72"
2014,2016,Alto Adige,"85,05","85,25","85,34","85,2","84,93","84,84","67,52","67,43","67,45","5,83","63,24","80,51"
2014,2016,Trentino,"92,98","92,87","93,26","92,83","92,61","92,38","87,43","87,25","87,31","51,02","86,03","89,24"
2014,2016,Veneto,"91,97","91,99","92,46",92,"91,4","91,26","89,19","89,07","89,14","85,53","90,64","84,46"
2014,2016,Friuli Venezia Giulia,"89,42","89,31","89,76","89,31","88,74","88,66","83,24","83,13","83,19","74,51","85,41","81,4"
2014,2016,Liguria,"94,33","94,32","94,38","94,28","94,17","93,67","82,15","82,06","82,11","48,74","77,57","91,79"
2014,2016,Emilia Romagna,"93,26","93,09","93,48","93,08","92,73","92,23","87,47","87,25","87,34","1,35","87,72","90,58"
2014,2016,Toscana,"94,37","94,41","94,61","94,41","94,09","93,96","89,38","89,3","89,35","75,28","90,66","88,97"
2014,2016,Umbria,"94,54","94,46","94,59","94,46","93,96","94,27","89,86","89,83","88,42","0,93","89,19","91,55"
2014,2016,Marche,"92,35","92,25","92,63","92,24","92,04","91,77","83,04",83,"83,01","36,63","80,76","89,42"
2014,2016,Lazio,"96,86","96,83","96,84","96,83","96,72","96,69","87,94","87,94","87,94","9,35","81,11","93,81"
2014,2016,Abruzzo,"97,1","97,06","97,07","97,05","97,04","97,03","87,56","87,56","87,56","12,21","62,57","89,32"
2014,2016,Molise,"97,3","97,3","97,3","97,3","97,3","97,3","73,51","73,51","73,51","49,98","71,7","91,45"
2014,2016,Campania,"92,71","92,71","92,71","92,71","92,72","92,68","83,87","83,87","83,64","44,5","60,99","82,09"
2014,2016,Puglia,"93,34","93,32","93,34","93,32","93,35","93,29","85,88","85,88","85,88","82,37","78,64","91,44"
2014,2016,Basilicata,"97,35","97,35","97,35","97,35","97,35","97,35","90,56","90,56","90,56","82,55","88,06",97
2014,2016,Calabria,"95,84","95,84","95,84","95,84","95,84","95,75","86,49","86,49","86,49","64,47","70,74","90,01"
2014,2016,Sicilia,"91,63","91,63","91,63","91,63","91,63","91,62","81,11","81,1","81,11","78,28","67,23","88,54"
2014,2016,Sardegna,"95,66","95,63","95,64","95,61","95,63","95,6","90,29","90,29","90,27","77,91","87,87","94,21"
2014,2016,Italia,"93,33","93,56","93,72","93,55","92,98","93,05","87,26","87,2","87,19","46,06","80,67","88,35"
2013,2015,Piemonte,"95,16","94,9","95,43","94,87","94,62","93,8","88,72","88,72","88,72","0,85","86,35","91,32"
2013,2015,Valle D'Aosta,"93,4","92,92","93,6","92,82","92,63","92,63","82,25","82,15","82,15","0,39","83,12","88,46"
2013,2015,Lombardia,"93,48","93,37","93,63","93,38","93,2","92,95","90,32","90,21","90,24","0,83","85,77","86,77"
2013,2015,Alto Adige,"87,45","87,49","87,5","87,45","87,11","87,17","68,84","68,8","68,8","4,16","63,12","81,67"
2013,2015,Trentino,"92,83","92,66","93,1","92,52","92,13","91,95","84,55","84,38","84,45","3,04","83,13","87,34"
2013,2015,Veneto,"91,27","91,29","91,75","91,26","90,8","90,62","87,15","87,05","87,08","84,03","90,54","84,64"
2013,2015,Friuli Venezia Giulia,"90,37","90,28","90,78","90,22","89,66","89,59","82,01","81,85","81,91","66,95","84,06","81,02"
2013,2015,Liguria,"94,6","94,5","94,57","94,49","94,3","93,92","81,48","81,32","81,49","10,57","79,65","92,8"
2013,2015,Emilia Romagna,"94,03","93,75","94,28","93,63","93,49","92,93","87,23",87,87,"0,9","87,4","91,53"
